"'00","'000","'00","'000","'0000","全國"
"'10","'015","'04","'050","'0001","北昌村"
"'10","'015","'04","'050","'0002","勝安村"
"'10","'015","'04","'050","'0014","仁里村"
"'10","'015","'04","'050","'0015","東昌村"
"'10","'015","'04","'050","'0016","仁安村"
"'10","'015","'04","'050","'0017","仁和村"
"'10","'015","'04","'050","'0018","光華村"
"'10","'015","'00","'060","'0000","壽豐鄉"
"'10","'015","'04","'060","'0000","壽豐鄉第04選區"
"'10","'015","'04","'060","'0002","溪口村"
"'10","'015","'04","'060","'0001","樹湖村"
"'10","'015","'04","'060","'0003","豐山村"
"'10","'015","'04","'060","'0004","豐裡村"
"'10","'015","'04","'060","'0005","豐坪村"
"'10","'015","'04","'060","'0007","壽豐村"
"'10","'015","'04","'060","'0006","共和村"
"'10","'015","'04","'060","'0008","光榮村"
"'10","'015","'04","'060","'0009","池南村"
"'10","'015","'04","'060","'0010","平和村"
"'10","'015","'04","'060","'0011","志學村"
"'10","'015","'04","'060","'0012","米棧村"
"'10","'015","'04","'060","'0013","月眉村"
"'10","'015","'04","'060","'0015","鹽寮村"
"'10","'015","'04","'060","'0014","水璉村"
"'10","'015","'00","'020","'0000","鳳林鎮"
"'10","'015","'04","'020","'0000","鳳林鎮第04選區"
"'10","'015","'04","'020","'0001","鳳仁里"
"'10","'015","'04","'020","'0002","鳳義里"
"'10","'015","'04","'020","'0003","鳳禮里"
"'10","'015","'04","'020","'0004","鳳智里"
"'10","'015","'04","'020","'0005","鳳信里"
"'10","'015","'04","'020","'0006","山興里"
"'10","'015","'04","'020","'0007","大榮里"
"'10","'015","'04","'020","'0008","北林里"
"'10","'015","'04","'020","'0009","南平里"
"'10","'015","'04","'020","'0010","林榮里"
"'10","'015","'04","'020","'0011","長橋里"
"'10","'015","'04","'020","'0012","森榮里"
"'10","'015","'00","'070","'0000","光復鄉"
"'10","'015","'03","'070","'0000","光復鄉第03選區"
"'10","'015","'03","'070","'0002","大華村"
"'10","'015","'03","'070","'0001","大安村"
"'10","'015","'03","'070","'0003","大平村"
"'10","'015","'03","'070","'0004","大馬村"
"'10","'015","'03","'070","'0005","大同村"
"'10","'015","'03","'070","'0006","大進村"
"'10","'015","'03","'070","'0007","大全村"
"'10","'015","'03","'070","'0008","大興村"
"'10","'015","'03","'070","'0009","大富村"
"'10","'015","'03","'070","'0010","大豐村"
"'10","'015","'04","'070","'0000","光復鄉第04選區"
"'10","'015","'04","'070","'0011","東富村"
"'10","'015","'04","'070","'0012","西富村"
"'10","'015","'04","'070","'0013","南富村"
"'10","'015","'04","'070","'0014","北富村"
"'10","'015","'00","'080","'0000","豐濱鄉"
"'10","'015","'02","'080","'0000","豐濱鄉第02選區"
"'10","'015","'02","'080","'0005","靜浦村"
"'10","'015","'02","'080","'0004","港口村"
"'10","'015","'02","'080","'0001","豐濱村"
"'10","'015","'02","'080","'0002","新社村"
"'10","'015","'02","'080","'0003","磯崎村"
"'10","'015","'00","'090","'0000","瑞穗鄉"
"'10","'015","'03","'090","'0000","瑞穗鄉第03選區"
"'10","'015","'03","'090","'0001","瑞穗村"
"'10","'015","'03","'090","'0002","瑞美村"
"'10","'015","'03","'090","'0003","瑞良村"
"'10","'015","'03","'090","'0004","瑞祥村"
"'10","'015","'03","'090","'0005","瑞北村"
"'10","'015","'03","'090","'0006","舞鶴村"
"'10","'015","'03","'090","'0007","鶴岡村"
"'10","'015","'03","'090","'0008","奇美村"
"'10","'015","'03","'090","'0009","富源村"
"'10","'015","'03","'090","'0010","富民村"
"'10","'015","'03","'090","'0011","富興村"
"'10","'015","'00","'030","'0000","玉里鎮"
"'10","'015","'03","'030","'0000","玉里鎮第03選區"
"'10","'015","'03","'030","'0001","中城里"
"'10","'015","'03","'030","'0005","國武里"
"'10","'015","'03","'030","'0002","啟模里"
"'10","'015","'03","'030","'0004","泰昌里"
"'10","'015","'03","'030","'0003","永昌里"
"'10","'015","'03","'030","'0006","源城里"
"'10","'015","'03","'030","'0007","長良里"
"'10","'015","'03","'030","'0014","三民里"
"'10","'015","'03","'030","'0015","大禹里"
"'10","'015","'04","'030","'0000","玉里鎮第04選區"
"'10","'015","'04","'030","'0008","樂合里"
"'10","'015","'04","'030","'0009","東豐里"
"'10","'015","'04","'030","'0010","觀音里"
"'10","'015","'04","'030","'0011","松浦里"
"'10","'015","'04","'030","'0012","春日里"
"'10","'015","'04","'030","'0013","德武里"
"'10","'015","'00","'100","'0000","富里鄉"
"'10","'015","'03","'100","'0000","富里鄉第03選區"
"'10","'015","'03","'100","'0001","吳江村"
"'10","'015","'03","'100","'0002","東里村"
"'10","'015","'03","'100","'0003","萬寧村"
"'10","'015","'03","'100","'0004","新興村"
"'10","'015","'03","'100","'0005","竹田村"
"'10","'015","'03","'100","'0006","羅山村"
"'10","'015","'03","'100","'0007","石牌村"
"'10","'015","'03","'100","'0008","明里村"
"'10","'015","'03","'100","'0009","富里村"
"'10","'015","'03","'100","'0010","永豐村"
"'10","'015","'03","'100","'0011","豐南村"
"'10","'015","'03","'100","'0012","富南村"
"'10","'015","'03","'100","'0013","學田村"
"'10","'014","'00","'000","'0000","臺東縣"
"'10","'014","'00","'010","'0000","臺東市"
"'10","'014","'05","'010","'0000","臺東市第05選區"
"'10","'014","'05","'010","'0023","文化里"
"'10","'014","'05","'010","'0013","民族里"
"'10","'014","'05","'010","'0012","自強里"
"'10","'014","'05","'010","'0008","民生里"
"'10","'014","'05","'010","'0009","寶桑里"
"'10","'014","'05","'010","'0018","民權里"
"'10","'014","'05","'010","'0014","四維里"
"'10","'014","'05","'010","'0015","中華里"
"'10","'014","'05","'010","'0019","仁愛里"
"'10","'014","'05","'010","'0016","強國里"
"'10","'014","'05","'010","'0021","大同里"
"'10","'014","'05","'010","'0022","成功里"
"'10","'014","'05","'010","'0017","建國里"
"'10","'014","'05","'010","'0020","中正里"
"'10","'014","'05","'010","'0024","中山里"
"'10","'014","'05","'010","'0026","興國里"
"'10","'014","'05","'010","'0028","鐵花里"
"'10","'014","'05","'010","'0036","東海里"
"'10","'014","'05","'010","'0025","復國里"
"'10","'014","'05","'010","'0027","復興里"
"'10","'014","'05","'010","'0037","新興里"
"'10","'014","'05","'010","'0007","新生里"
"'10","'014","'05","'010","'0011","中心里"
"'10","'014","'05","'010","'0010","馬蘭里"
"'10","'014","'05","'010","'0032","光明里"
"'10","'014","'05","'010","'0031","豐年里"
"'10","'014","'05","'010","'0033","豐樂里"
"'10","'014","'05","'010","'0034","永樂里"
"'10","'014","'05","'010","'0035","康樂里"
"'10","'014","'05","'010","'0038","豐榮里"
"'10","'014","'05","'010","'0039","豐谷里"
"'10","'014","'05","'010","'0040","豐里里"
"'10","'014","'05","'010","'0041","豐原里"
"'10","'014","'05","'010","'0001","富岡里"
"'10","'014","'05","'010","'0002","富豐里"
"'10","'014","'05","'010","'0006","南榮里"
"'10","'014","'05","'010","'0003","岩灣里"
"'10","'014","'05","'010","'0005","卑南里"
"'10","'014","'05","'010","'0004","南王里"
"'10","'014","'05","'010","'0030","豐田里"
"'10","'014","'05","'010","'0029","新園里"
"'10","'014","'05","'010","'0042","建和里"
"'10","'014","'05","'010","'0043","建興里"
"'10","'014","'05","'010","'0044","建業里"
"'10","'014","'05","'010","'0045","知本里"
"'10","'014","'05","'010","'0046","建農里"
"'10","'014","'00","'020","'0000","成功鎮"
"'10","'014","'02","'020","'0000","成功鎮第02選區"
"'10","'014","'02","'020","'0008","信義里"
"'10","'014","'02","'020","'0007","和平里"
"'10","'014","'02","'020","'0006","忠仁里"
"'10","'014","'02","'020","'0005","忠智里"
"'10","'014","'02","'020","'0004","三民里"
"'10","'014","'02","'020","'0003","三仙里"
"'10","'014","'02","'020","'0002","忠孝里"
"'10","'014","'02","'020","'0001","博愛里"
"'10","'014","'00","'030","'0000","關山鎮"
"'10","'014","'04","'030","'0000","關山鎮第04選區"
"'10","'014","'04","'030","'0005","里壠里"
"'10","'014","'04","'030","'0004","中福里"
"'10","'014","'04","'030","'0003","新福里"
"'10","'014","'04","'030","'0002","豐泉里"
"'10","'014","'04","'030","'0007","月眉里"
"'10","'014","'04","'030","'0001","德高里"
"'10","'014","'04","'030","'0006","電光里"
"'10","'014","'00","'040","'0000","卑南鄉"
"'10","'014","'03","'040","'0000","卑南鄉第03選區"
"'10","'014","'03","'040","'0008","賓朗村"
"'10","'014","'03","'040","'0007","美農村"
"'10","'014","'03","'040","'0006","初鹿村"
"'10","'014","'03","'040","'0005","明峰村"
"'10","'014","'03","'040","'0001","嘉豐村"
"'10","'014","'03","'040","'0010","太平村"
"'10","'014","'03","'040","'0009","泰安村"
"'10","'014","'03","'040","'0011","利嘉村"
"'10","'014","'03","'040","'0012","東興村"
"'10","'014","'03","'040","'0013","溫泉村"
"'10","'014","'03","'040","'0003","富山村"
"'10","'014","'03","'040","'0004","富源村"
"'10","'014","'03","'040","'0002","利吉村"
"'10","'014","'00","'050","'0000","鹿野鄉"
"'10","'014","'03","'050","'0000","鹿野鄉第03選區"
"'10","'014","'03","'050","'0006","鹿野村"
"'10","'014","'03","'050","'0007","龍田村"
"'10","'014","'03","'050","'0004","永安村"
"'10","'014","'03","'050","'0005","瑞隆村"
"'10","'014","'03","'050","'0003","瑞源村"
"'10","'014","'03","'050","'0001","瑞和村"
"'10","'014","'03","'050","'0002","瑞豐村"
"'10","'014","'00","'060","'0000","池上鄉"
"'10","'014","'04","'060","'0000","池上鄉第04選區"
"'10","'014","'04","'060","'0005","福原村"
"'10","'014","'04","'060","'0001","福文村"
"'10","'014","'04","'060","'0002","慶豐村"
"'10","'014","'04","'060","'0003","大坡村"
"'10","'014","'04","'060","'0004","大埔村"
"'10","'014","'04","'060","'0007","新興村"
"'10","'014","'04","'060","'0006","錦園村"
"'10","'014","'04","'060","'0008","萬安村"
"'10","'014","'04","'060","'0009","富興村"
"'10","'014","'04","'060","'0010","振興村"
"'10","'014","'00","'070","'0000","東河鄉"
"'10","'014","'02","'070","'0000","東河鄉第02選區"
"'10","'014","'02","'070","'0007","都蘭村"
"'10","'014","'02","'070","'0006","興昌村"
"'10","'014","'02","'070","'0005","隆昌村"
"'10","'014","'02","'070","'0003","東河村"
"'10","'014","'02","'070","'0002","泰源村"
"'10","'014","'02","'070","'0001","北源村"
"'10","'014","'02","'070","'0004","尚德村"
"'10","'014","'00","'080","'0000","長濱鄉"
"'10","'014","'02","'080","'0000","長濱鄉第02選區"
"'10","'014","'02","'080","'0006","寧埔村"
"'10","'014","'02","'080","'0005","竹湖村"
"'10","'014","'02","'080","'0004","長濱村"
"'10","'014","'02","'080","'0003","忠勇村"
"'10","'014","'02","'080","'0002","三間村"
"'10","'014","'02","'080","'9999","三間村、樟原村"
"'10","'014","'02","'080","'0001","樟原村"
"'10","'014","'00","'090","'0000","太麻里鄉"
"'10","'014","'03","'090","'0000","太麻里鄉第03選區"
"'10","'014","'03","'090","'0001","美和村"
"'10","'014","'03","'090","'0002","三和村"
"'10","'014","'03","'090","'0003","華源村"
"'10","'014","'03","'090","'0004","北里村"
"'10","'014","'03","'090","'0006","大王村"
"'10","'014","'03","'090","'0005","泰和村"
"'10","'014","'03","'090","'0007","香蘭村"
"'10","'014","'03","'090","'0008","金崙村"
"'10","'014","'03","'090","'0009","多良村"
"'10","'014","'00","'100","'0000","大武鄉"
"'10","'014","'03","'100","'0000","大武鄉第03選區"
"'10","'014","'03","'100","'0005","南興村"
"'10","'014","'03","'100","'0004","尚武村"
"'10","'014","'03","'100","'0003","大武村"
"'10","'014","'03","'100","'0002","大鳥村"
"'10","'014","'03","'100","'0001","大竹村"
