地區,姓名,地區排序,得票數,推薦政黨,得票率,當選註記,是否現任,委員會,性別,出生年次,捐贈企業數,總收入,個人捐贈收入,個人捐贈比例,營利事業捐贈收入,營利事業捐贈比例,政黨捐贈收入,政黨捐贈收入比例,人民團體捐贈收入,人民團體收入比例,匿名捐贈收入,匿名捐贈比例,其他收入,其他收入比例,超過三萬元之收入,總支出
花蓮縣第01選區,蕭美琴,18,63231,民主進步黨,53.77%,*,是,經濟,女,1971,66,27116307,"16,139,148",59.52%,9985600,36.83%,0,0.00%,"565,000",2.08%,"416,500",1.54%,"10,059",0.04%,"21,750,140","19,847,129"
桃園市第03選區,陳學聖,4,77505,中國國民黨,44.71%,*,是,教育文化,男,1957,51,23972541,"9,046,700",37.74%,9577600,39.95%,"5,000,000",20.86%,"344,000",1.43%,200,0.00%,"4,041",0.02%,"22,308,000","24,100,702"
桃園市第04選區,楊麗環,4,86253,中國國民黨,49.95%,,是,,女,1957,46,24846677,"9,033,000",36.35%,8973600,36.12%,"6,000,000",24.15%,"837,000",3.37%,0,0.00%,"3,077",0.00%,"23,397,000","25,268,889"
臺中市第03選區,楊瓊瓔,8,78334,中國國民黨,45.15%,,是,,女,1964,45,27469012,"12,837,100",46.73%,8966000,32.64%,"5,500,000",20.02%,"165,000",0.60%,0,0.00%,912,0.01%,"26,363,000","27,574,118"
臺中市第06選區,黃國書,8,95725,民主進步黨,55.74%,*,是,交通,男,1964,64,33422365,"23,972,666",71.73%,8943500,26.76%,0,0.00%,"501,000",1.50%,0,0.00%,"5,199",0.04%,"31,040,666","18,379,591"
臺中市第07選區,何欣純,8,119098,民主進步黨,63.07%,*,是,教育文化,女,1973,78,31704443,"22,447,010",70.80%,8893000,28.05%,0,0.00%,"362,000",1.14%,0,0.00%,"2,433",0.01%,"25,829,000","25,119,175"
臺北市第05選區,林郁方,2,76079,中國國民黨,45.58%,,是,,男,1951,34,28132351,"13,053,584",46.40%,8838000,31.42%,"5,500,000",19.55%,"726,000",2.58%,"9,369",0.03%,"5,398",0.00%,"25,850,000","12,744,418"
桃園市第02選區,廖正井,4,76473,中國國民黨,42.72%,,是,,男,1945,17,20953142,"3,374,000",16.10%,8805000,42.02%,"8,500,000",40.57%,"270,000",1.29%,0,0.00%,"4,142",0.01%,"20,676,000","21,735,494"
臺北市第04選區,黃珊珊,2,85600,親民黨,39.86%,,否,,女,1969,51,21911229,"10,011,258",45.69%,8796000,40.14%,"3,000,000",13.69%,"100,000",0.46%,0,0.00%,"3,971",0.01%,"19,740,888","22,192,162"
雲林縣第01選區,蘇治芬,11,87378,民主進步黨,53.72%,*,否,經濟,女,1953,31,18920419,"10,119,400",53.48%,8644000,45.69%,0,0.00%,"153,600",0.81%,"2,500",0.01%,919,0.00%,"16,938,000","19,188,369"
高雄市第04選區,林岱樺,15,122722,民主進步黨,75.53%,*,是,經濟,女,1972,98,30102629,"20,076,900",66.69%,8639000,28.70%,0,0.00%,"1,380,000",4.58%,0,0.00%,"6,729",0.02%,"25,764,000","29,228,089"
基隆市第01選區,郝龍斌,1,68632,中國國民黨,36.14%,,否,,男,1952,16,20052500,"2,501,800",12.48%,8380000,41.79%,"8,684,655",43.31%,"275,000",1.37%,"210,000",1.05%,"1,045",0.01%,"19,739,655","22,158,334"
雲林縣第01選區,張鎔麒,11,69614,中國國民黨,42.80%,,否,,男,1987,29,15464175,"2,898,000",18.74%,8359000,54.05%,"2,500,000",16.17%,"1,700,000",10.99%,"7,100",0.05%,75,0.01%,"15,134,000","17,152,508"
新北市第06選區,林國春,3,58050,中國國民黨,39.55%,,否,,男,1968,31,18864362,"5,025,100",26.64%,8340500,44.21%,"5,000,000",26.51%,"486,000",2.58%,"10,500",0.06%,"2,262",0.01%,"17,660,000","16,889,150"
南投縣第02選區,蔡煌瑯,9,56237,民主進步黨,43.35%,,是,,男,1960,76,23668969,"12,190,950",51.51%,8180000,34.56%,0,0.00%,"2,980,000",12.59%,"311,407",1.32%,"6,612",0.03%,"19,782,000","23,791,182"
新北市第03選區,李乾龍,3,62723,中國國民黨,35.43%,,否,,男,1949,17,23058022,"4,016,000",17.42%,8030000,34.83%,"11,000,000",47.71%,0,0.00%,"11,400",0.05%,622,0.01%,"22,970,000","23,149,579"
嘉義縣第01選區,蔡易餘,13,72469,民主進步黨,52.96%,*,否,司法法制,男,1981,58,19647445,"10,885,599",55.40%,7981604,40.62%,"300,000",1.53%,"436,000",2.22%,"42,700",0.22%,"1,542",0.01%,"17,829,800","21,012,961"
新北市第09選區,林德福,3,82761,中國國民黨,52.43%,*,是,財政,男,1953,26,25041408,"12,147,893",48.51%,7890000,31.51%,"5,000,000",19.97%,0,0.00%,"1,000",0.00%,"2,515",0.01%,"24,506,000","13,945,441"
臺中市第04選區,張廖萬堅,8,100649,民主進步黨,52.77%,*,否,教育文化,男,1965,65,28311305,"20,384,214",72.00%,7686000,27.15%,0,0.00%,"230,000",0.81%,"9,370",0.03%,"1,721",0.01%,"24,166,666","21,579,678"
臺中市第02選區,陳世凱,8,87596,民主進步黨,43.71%,,否,,男,1977,49,19184608,"11,525,800",60.08%,7530000,39.25%,0,0.00%,"100,000",0.52%,"28,583",0.15%,225,0.04%,"17,850,000","19,620,390"
桃園市第01選區,陳根德,4,80142,中國國民黨,44.05%,,是,,男,1956,52,23318220,"10,547,100",45.23%,7508000,32.20%,"5,000,000",21.44%,"262,000",1.12%,0,0.00%,"1,120",0.03%,"22,080,800","27,683,260"
屏東縣第01選區,蘇震清,16,101894,民主進步黨,69.99%,*,是,經濟,男,1965,43,21846045,"13,895,800",63.61%,7457985,34.14%,0,0.00%,"390,000",1.79%,"100,000",0.46%,"2,260",0.01%,"19,837,185","14,437,257"
臺南市第01選區,葉宜津,14,117842,民主進步黨,71.22%,*,是,司法法制,女,1960,38,18817904,"10,240,680",54.42%,7348000,39.05%,0,0.00%,"1,020,000",5.42%,"207,080",1.10%,"2,144",0.01%,"17,486,080","3,975,740"
平原原住民,廖國棟,23,19468,中國國民黨,20.57%,*,是,司法法制,男,1955,17,15807032,"2,285,000",14.46%,7200000,45.55%,"6,000,000",37.96%,"320,000",2.02%,0,0.00%,"2,032",0.01%,"15,710,000","15,836,388"
屏東縣第03選區,莊瑞雄,16,67260,民主進步黨,53.52%,*,是,外交國防,男,1963,25,14645889,"6,594,896",45.03%,7148000,48.81%,0,0.00%,"670,000",4.57%,"232,212",1.59%,781,0.01%,"13,482,000","6,853,531"
新北市第07選區,羅致政,3,82544,民主進步黨,53.61%,*,否,外交國防,男,1964,53,27091601,"17,531,581",64.71%,7118600,26.28%,0,0.00%,"573,000",2.12%,"1,864,628",6.88%,"3,792",0.01%,"18,725,584","25,521,030"
臺北市第01選區,吳思瑤,2,95951,民主進步黨,50.81%,*,否,教育文化,女,1974,42,18063968,"10,327,100",57.17%,7097200,39.29%,0,0.00%,"546,000",3.02%,"91,440",0.51%,"2,228",0.01%,"14,867,148","16,701,013"
桃園市第06選區,孫大千,4,75510,中國國民黨,46.06%,,是,,男,1969,13,14485818,"2,483,000",17.14%,7000000,48.32%,"5,000,000",34.52%,0,0.00%,0,0.00%,"2,818",0.02%,"14,450,000","14,843,519"
臺中市第04選區,蔡錦隆,8,70124,中國國民黨,36.76%,,是,,男,1958,38,21139370,"8,482,200",40.13%,6842900,32.37%,"5,500,000",26.02%,"300,000",1.42%,"12,640",0.06%,"1,630",0.01%,"19,511,900","20,982,521"
南投縣第01選區,馬文君,9,63600,中國國民黨,54.77%,*,是,外交國防,女,1965,48,16426213,"4,178,000",25.43%,6823000,41.54%,"5,000,000",30.44%,"385,600",2.35%,"36,500",0.22%,"3,113",0.02%,"15,244,000","3,282,163"
彰化縣第04選區,陳素月,10,95518,民主進步黨,57.23%,*,是,交通,女,1966,79,22267253,"15,136,083",67.97%,6739500,30.27%,0,0.00%,"200,000",0.90%,"190,400",0.86%,"1,270",0.01%,"18,824,000","22,500,334"
新北市第05選區,蘇巧慧,3,92237,民主進步黨,56.11%,*,否,教育文化,女,1976,19,20398298,"13,333,935",65.37%,6710000,32.89%,"190,000",0.93%,"6,000",0.03%,"155,701",0.76%,"2,662",0.01%,"19,049,999","28,176,988"
高雄市第09選區,賴瑞隆,15,100862,民主進步黨,60.57%,*,否,內政,男,1973,65,13801207,"6,638,500",48.10%,6569000,47.60%,0,0.00%,"566,000",4.10%,"21,701",0.16%,"6,006",0.04%,"11,742,000","15,590,291"
嘉義縣第02選區,陳明文,13,88538,民主進步黨,65.18%,*,是,經濟,男,1954,31,14969316,"7,664,046",51.20%,6516000,43.53%,"475,000",3.17%,"200,000",1.34%,"110,000",0.73%,"4,270",0.03%,"14,625,000","10,656,774"
宜蘭縣第01選區,陳歐珀,17,120393,民主進步黨,53.67%,*,是,交通,男,1962,52,16775101,"10,085,600",60.12%,6223000,37.10%,0,0.00%,"460,000",2.74%,"6,000",0.04%,501,0.00%,"15,129,000","19,260,612"
桃園市第01選區,鄭運鵬,4,85955,民主進步黨,47.25%,*,否,交通,男,1973,30,14278367,"7,713,800",54.02%,6217000,43.54%,0,0.00%,"330,000",2.31%,"17,000",0.12%,567,0.00%,"12,867,500","18,135,165"
彰化縣第02選區,林滄敏,10,65020,中國國民黨,40.01%,,是,,男,1958,32,18473735,"5,559,400",30.09%,6212000,33.63%,"5,300,000",28.69%,"1,400,000",7.58%,0,0.00%,"2,335",0.01%,"16,810,400","18,473,735"
高雄市第03選區,張顯耀,15,73792,中國國民黨,38.61%,,否,,男,1963,31,18185106,"6,056,200",33.30%,6039988,33.21%,"5,800,000",31.89%,"260,000",1.43%,"28,266",0.16%,652,0.00%,"17,480,000","18,571,268"
南投縣第02選區,許淑華,9,73485,中國國民黨,56.64%,*,是,社福衛環,女,1975,26,15975245,"4,804,200",30.07%,5940000,37.18%,"5,000,000",31.30%,"230,000",1.44%,500,0.00%,545,0.00%,"15,526,000","17,299,854"
臺中市第08選區,謝志忠,8,70549,民主進步黨,48.59%,,否,,男,1969,84,20664912,"14,626,180",70.78%,5796000,28.05%,0,0.00%,"180,000",0.87%,"62,600",0.30%,132,0.00%,"16,001,000","21,067,425"
新北市第07選區,江惠貞,3,61345,中國國民黨,39.84%,,是,,女,1963,21,22363741,"8,859,300",39.61%,5750000,25.71%,"7,000,000",31.30%,"724,000",3.24%,"29,400",0.13%,"1,041",0.00%,"20,159,000","22,430,742"
新北市第12選區,李慶華,3,68318,中國國民黨,43.71%,,是,,男,1948,11,14134468,"2,497,000",17.67%,5700000,40.33%,"5,700,000",40.33%,"230,000",1.63%,"5,000",0.04%,"2,468",0.00%,"13,910,000","13,182,177"
屏東縣第02選區,鍾佳濱,16,76204,民主進步黨,52.54%,*,否,交通,男,1965,39,21041164,"15,165,253",72.07%,5430350,25.81%,0,0.00%,"342,000",1.63%,"101,221",0.48%,"2,340",0.01%,"16,316,000","21,085,213"
嘉義市第01選區,李俊俋,12,73965,民主進步黨,53.95%,*,是,司法法制,男,1965,45,21080039,"15,322,246",72.69%,5424836,25.73%,0,0.00%,"230,000",1.09%,"101,260",0.48%,"1,697",0.01%,"15,886,836","22,565,398"
彰化縣第01選區,陳文彬,10,72003,民主進步黨,43.80%,,否,,男,1969,70,13876594,"8,343,307",60.13%,5423974,39.09%,0,0.00%,"106,000",0.76%,"2,502",0.02%,811,0.02%,"11,821,000","16,803,664"
臺中市第03選區,洪慈庸,8,93451,時代力量,53.86%,*,否,交通,女,1982,62,28413178,"21,067,987",74.15%,4996646,17.59%,"150,000",0.53%,"150,000",0.53%,"2,045,229",7.20%,"3,316",0.01%,"17,523,865","28,574,315"
新北市第12選區,黃國昌,3,80508,時代力量,51.51%,*,否,財政,男,1973,36,32986008,"25,169,857",76.30%,4925000,14.93%,0,0.00%,"450,000",1.36%,"2,438,284",7.39%,"2,867",0.01%,"21,475,556","22,217,653"
新北市第10選區,吳琪銘,3,102854,民主進步黨,58.50%,*,否,內政,男,1963,17,9963400,"4,840,100",48.58%,4898000,49.16%,0,0.00%,"170,000",1.71%,"54,300",0.54%,"1,000",0.01%,"9,606,000","10,943,581"
臺中市第08選區,江啟臣,8,72024,中國國民黨,49.61%,*,是,外交國防,男,1972,38,22789873,"11,303,500",49.60%,4726470,20.74%,"6,500,000",28.52%,"255,000",1.12%,"4,000",0.02%,903,0.00%,"21,686,870","20,762,392"
臺北市第06選區,蔣乃辛,2,74015,中國國民黨,46.09%,*,是,教育文化,男,1948,14,18538521,"7,608,448",41.04%,4660000,25.14%,"5,500,000",29.67%,"767,000",4.14%,0,0.00%,"3,073",0.02%,"16,573,688","7,240,166"
新北市第06選區,張宏陸,3,77223,民主進步黨,52.61%,*,否,內政,男,1972,18,9849551,"4,816,400",48.90%,4543000,46.12%,0,0.00%,"482,000",4.89%,"8,001",0.08%,150,0.00%,"9,178,000","9,898,185"
高雄市第07選區,莊啟旺,15,54769,中國國民黨,34.08%,,否,,男,1954,27,15310796,"4,604,400",30.07%,4451000,29.07%,"5,800,000",37.88%,"270,000",1.76%,"183,800",1.20%,"1,596",0.01%,"13,970,000","20,168,342"
屏東縣第02選區,王進士,16,68815,中國國民黨,47.45%,,是,,男,1948,30,18106328,"7,666,688",42.34%,4398000,24.29%,"5,500,000",30.38%,"540,000",2.98%,0,0.00%,"1,640",0.01%,"16,778,000","19,267,084"
基隆市第01選區,蔡適應,1,78707,民主進步黨,41.45%,*,否,外交國防,男,1973,39,9779983,"5,214,299",53.32%,4360000,44.58%,0,0.00%,"205,000",2.10%,1,0.00%,683,0.01%,"8,520,000","12,964,062"
桃園市第02選區,陳賴素美,4,89792,民主進步黨,50.16%,*,否,財政,女,1964,50,10665888,"6,127,988",57.45%,4207600,39.45%,0,0.00%,"100,000",0.94%,"230,300",2.16%,0,0.00%,"8,322,000","15,010,174"
雲林縣第02選區,劉建國,11,121114,民主進步黨,68.17%,*,是,社福衛環,男,1969,42,17779210,"13,466,366",75.74%,4179000,23.50%,0,0.00%,"120,000",0.67%,"13,010",0.07%,834,0.00%,"14,470,000","11,043,577"
苗栗縣第02選區,徐志榮,7,73234,中國國民黨,49.90%,*,是,社福衛環,男,1955,15,13313980,"3,365,666",25.28%,4130000,31.02%,"5,500,000",41.31%,"310,000",2.33%,"8,000",0.06%,314,0.00%,"13,060,000","19,291,802"
臺北市第03選區,蔣萬安,2,89673,中國國民黨,46.68%,*,否,社福衛環,男,1978,11,13466432,"3,105,110",23.06%,4125000,30.63%,"6,200,000",46.04%,"20,000",0.15%,"14,806",0.11%,"1,516",0.00%,"12,960,000","14,913,334"
新北市第11選區,陳永福,3,67777,民主進步黨,36.79%,,否,,男,1958,19,7531750,"3,375,500",44.82%,3946000,52.39%,0,0.00%,"210,000",2.79%,0,0.00%,250,0.04%,"6,856,000","7,580,903"
彰化縣第02選區,黃秀芳,10,73227,民主進步黨,45.07%,*,否,社福衛環,女,1971,62,13442557,"9,139,920",67.99%,3941310,29.32%,0,0.00%,"350,000",2.60%,"11,040",0.08%,287,0.00%,"11,497,310","13,638,700"
彰化縣第03選區,洪宗熠,10,75609,民主進步黨,44.58%,*,否,內政,男,1969,41,13547434,"9,666,895",71.36%,3646000,26.91%,0,0.00%,"100,000",0.74%,"133,900",0.99%,639,0.00%,"11,057,000","17,573,347"
彰化縣第03選區,鄭汝芬,10,69448,中國國民黨,40.95%,,是,,女,1957,13,16630839,"5,805,600",34.91%,3524000,21.19%,"7,000,000",42.09%,"300,000",1.80%,0,0.00%,"1,239",0.00%,"16,466,000","17,052,693"
新北市第05選區,黃志雄,3,67014,中國國民黨,40.76%,,是,,男,1976,32,17677620,"6,150,700",34.79%,3351500,18.96%,"8,000,000",45.25%,"150,000",0.85%,"23,600",0.13%,"1,820",0.01%,"16,256,500","18,460,157"
桃園市第05選區,張肇良,4,70202,民主進步黨,42.19%,,否,,男,1964,55,7285400,"3,779,200",51.87%,3284200,45.08%,0,0.00%,"220,000",3.02%,"2,000",0.03%,0,0.01%,"5,810,200","8,432,531"
臺北市第02選區,潘懷宗,2,65967,新黨,36.42%,,否,,男,1961,10,5660181,"1,303,300",23.03%,3273200,57.83%,"1,000,000",17.67%,"60,000",1.06%,"23,500",0.42%,181,0.02%,"5,349,200","11,909,961"
臺南市第02選區,黃偉哲,14,146414,民主進步黨,76.46%,*,是,經濟,男,1963,24,14012382,"9,926,989",70.84%,3218000,22.97%,"47,500",0.34%,"800,000",5.71%,"19,000",0.14%,893,0.00%,"13,354,689","14,389,266"
高雄市第06選區,黃柏霖,15,56689,中國國民黨,39.78%,,否,,男,1967,30,14601401,"5,282,400",36.18%,3175000,21.74%,"5,800,000",39.72%,"340,000",2.33%,"4,000",0.03%,1,0.00%,"13,545,000","17,787,101"
桃園市第04選區,鄭寶清,4,86413,民主進步黨,50.04%,*,否,交通,男,1955,39,12738604,"8,101,516",63.60%,3151000,24.74%,"950,000",7.46%,"130,000",1.02%,"405,067",3.18%,"1,021",0.00%,"9,233,000","19,069,389"
臺東縣第01選區,劉櫂豪,19,42317,民主進步黨,64.18%,*,是,司法法制,男,1967,18,9865283,"6,427,162",65.15%,3151000,31.94%,0,0.00%,"110,000",1.12%,"176,811",1.79%,310,0.00%,"8,706,000","10,220,110"
高雄市第02選區,黃韻涵,15,61186,中國國民黨,34.91%,,否,,女,1984,15,10241024,"1,590,700",15.53%,3146000,30.72%,"5,500,000",53.71%,"2,000",0.02%,"2,000",0.02%,324,0.00%,"9,902,000","11,843,234"
平原原住民,陳瑩,23,17052,民主進步黨,18.02%,*,否,社福衛環,女,1972,10,11190630,"4,314,600",38.56%,3070000,27.43%,"3,334,500",29.80%,"470,000",4.20%,0,0.00%,"1,530",0.00%,"10,694,500","13,048,860"
臺北市第07選區,楊實秋,2,69882,無黨籍,42.28%,,否,,男,1958,16,11061438,"7,510,866",67.90%,3043000,27.51%,0,0.00%,"32,000",0.29%,"475,230",4.30%,342,0.00%,"7,011,000","3,693,601"
高雄市第09選區,林國正,15,57346,中國國民黨,34.43%,,是,,男,1966,17,12197628,"3,063,580",25.12%,2967000,24.32%,"5,500,000",45.09%,"660,000",5.41%,"5,000",0.04%,"2,048",0.01%,"11,294,000","15,623,756"
臺北市第08選區,李慶元,2,60459,無黨籍,35.79%,,否,,男,1958,17,9182792,"6,260,629",68.18%,2866500,31.22%,0,0.00%,"40,000",0.44%,"15,099",0.16%,564,0.00%,"7,038,190","12,111,787"
宜蘭縣第01選區,李志鏞,17,63367,中國國民黨,28.25%,,否,,男,1966,30,10995084,"2,515,200",22.88%,2810000,25.56%,"5,500,000",50.02%,"160,000",1.46%,"6,000",0.05%,"3,884",0.01%,"10,260,000","13,207,818"
新北市第02選區,林淑芬,3,123299,民主進步黨,68.74%,*,是,社福衛環,女,1973,22,16525720,"13,294,260",80.45%,2610000,15.79%,0,0.00%,0,0.00%,"620,001",3.75%,"1,459",0.00%,"10,936,000","15,498,915"
高雄市第08選區,黃璽文,15,58967,中國國民黨,31.61%,,否,,男,1972,4,8821063,"717,000",8.13%,2600000,29.47%,"5,500,000",62.35%,0,0.00%,"4,000",0.05%,63,0.00%,"8,796,000","9,150,556"
高雄市第01選區,鍾易仲,15,58689,中國國民黨,39.61%,,否,,男,1982,19,16367803,"2,035,000",12.43%,2490000,15.21%,"11,800,000",72.09%,"30,000",0.18%,"11,000",0.07%,"1,803",0.01%,"16,080,000","16,803,187"
臺北市第05選區,林昶佐,2,82650,時代力量,49.52%,*,否,外交國防,男,1976,16,12580453,"8,973,554",71.33%,2454666,19.51%,"760,000",6.04%,"180,000",1.43%,"210,734",1.68%,"1,499",0.00%,"7,960,986","14,806,351"
新竹縣第01選區,鄭永金,6,85170,無黨籍,33.47%,,否,,男,1949,7,4468116,"1,913,000",42.81%,2445000,54.72%,0,0.00%,"110,000",2.46%,111,0.00%,5,0.00%,"4,335,000","4,686,141"
桃園市第03選區,徐景文,4,77120,民主進步黨,44.48%,,否,,男,1962,24,7667020,"5,134,100",66.96%,2405000,31.37%,0,0.00%,"120,000",1.57%,"7,600",0.10%,320,0.01%,"4,506,000","7,877,834"
山原原住民,簡東明,24,25940,中國國民黨,22.96%,*,是,交通,男,1951,6,8933287,"940,999",10.53%,2387000,26.72%,"5,500,000",61.57%,"103,000",1.15%,0,0.00%,"2,288",0.02%,"8,873,000","9,374,711"
臺中市第06選區,沈智慧,8,69611,中國國民黨,40.53%,,否,,女,1957,16,13537229,"5,618,988",41.51%,2363800,17.46%,"5,500,000",40.63%,"50,000",0.37%,"3,960",0.03%,481,0.01%,"12,967,800","15,328,644"
彰化縣第04選區,張錦昆,10,71367,中國國民黨,42.76%,,否,,男,1965,23,17290302,"3,905,266",22.59%,2283000,13.20%,"11,000,000",63.62%,"100,000",0.58%,0,0.00%,"2,036",0.01%,"16,533,000","17,345,558"
新竹市第01選區,鄭正鈐,5,79951,中國國民黨,36.45%,,否,,男,1969,24,11902782,"4,524,500",38.01%,2246000,18.87%,"5,000,000",42.01%,"105,000",0.88%,"26,500",0.22%,782,0.01%,"10,996,000","17,870,180"
